City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,mar del plata,-38.0023,-57.5575,9.97,58,0,3.13,AR,1746951775
150,sena madureira,-9.0656,-68.6569,21.98,99,25,1.34,BR,1746951776
151,acarau,-2.8856,-40.12,23.82,93,29,3.12,BR,1746951777
152,sudislavl',57.8817,41.7083,1.46,98,100,5.04,RU,1746951779
153,kapa'a,22.0752,-159.319,24.18,85,75,7.72,US,1746951780
154,huarmey,-10.0681,-78.1522,18.28,88,58,2.78,PE,1746951781
155,luwingu,-10.2621,29.9271,22.09,64,0,3.24,ZM,1746951782
156,buka,40.8108,69.1986,31.64,18,0,3.17,UZ,1746951783
157,kolonia town,6.964,158.206,29.0,80,100,4.12,FM,1746951533
158,nizhnesortymskiy,62.4397,71.7603,-0.23,70,100,6.82,RU,1746951785
159,nova sintra,14.8667,-24.7167,21.96,81,57,8.73,CV,1746951535
160,faya-largeau,17.9257,19.1043,38.94,8,0,4.12,TD,1746951787
161,enid,36.3956,-97.8784,13.09,87,0,1.54,US,1746951537
162,ribeira brava,32.65,-17.0667,19.84,79,48,1.14,PT,1746951789
163,kemijarvi,66.7131,27.4306,7.35,61,42,2.34,FI,1746951539
164,pangody,65.85,74.4859,-3.16,80,100,7.38,RU,1746951791
165,talnakh,69.4865,88.3972,-1.51,82,98,3.42,RU,1746951541
166,port mathurin,-19.6833,63.4167,26.34,77,93,9.03,MU,1746951793
167,imperatriz,-5.5264,-47.4917,23.03,100,0,0.0,BR,1746951794
168,bandarbeyla,9.4942,50.8122,33.43,55,0,6.83,SO,1746951795
169,uyuni,-20.4597,-66.825,6.39,64,0,0.74,BO,1746951545
170,vorgashor,67.5833,63.95,-4.36,86,70,2.46,RU,1746951798
171,enewetak,11.3474,162.3373,27.85,73,29,7.36,MH,1746951799
172,luena,-11.7833,19.9167,22.45,56,11,2.47,AO,1746951800
173,saipan,15.1355,145.701,29.39,80,20,7.2,MP,1746951801
174,la'ie,21.6477,-157.9253,24.66,78,15,8.8,US,1746951802
175,kapuskasing,49.4169,-82.4331,-0.95,80,75,1.54,CA,1746951803
176,jiangyou,31.7667,104.7167,28.41,25,0,4.54,CN,1746951553
177,polovinnoye,54.7914,65.9864,12.8,66,100,2.26,RU,1746951805
178,susuman,62.7833,148.1667,5.47,67,100,0.91,RU,1746951806
179,lata,40.1629,-8.3327,10.27,75,96,1.19,PT,1746951807
180,swakopmund,-22.6833,14.5333,16.1,81,1,3.06,NA,1746951808
181,hotan,37.0997,79.9269,29.98,9,55,3.72,CN,1746951809
182,carnarvon,-24.8667,113.6333,28.83,41,0,5.83,AU,1746951810
183,kem',64.9555,34.5793,2.58,68,69,6.37,RU,1746951811
184,carlsbad,33.1581,-117.3506,21.71,86,0,1.54,US,1746951812
185,puerto ayora,-0.7393,-90.3518,22.53,99,43,2.42,EC,1746951562
186,tura,25.5198,90.2201,39.27,22,12,2.48,IN,1746951814
187,manta,-0.95,-80.7333,23.39,89,100,2.53,EC,1746951816
188,kiamba,5.9894,124.6242,30.35,78,100,1.16,PH,1746951817
189,urengoy,65.9667,78.3667,-2.68,83,100,6.82,RU,1746951818
190,zhigalovo,54.8097,105.1578,13.98,87,100,4.71,RU,1746951568
191,kurumkan,54.3,110.3,13.56,66,100,2.61,RU,1746951820
192,kutoarjo,-7.7169,109.9128,29.78,79,44,3.03,ID,1746951821
193,georgetown,5.4112,100.3354,30.97,66,20,4.12,MY,1746951587
194,kenai,60.5544,-151.2583,6.75,80,0,5.14,US,1746951823
195,ola,59.5833,151.2833,1.85,94,100,1.06,RU,1746951824
196,igbo-ora,7.4333,3.2833,27.88,74,13,2.21,NG,1746951825
197,bratsk,56.1325,101.6142,13.27,89,100,5.55,RU,1746951826
198,hithadhoo,-0.6,73.0833,28.69,73,100,3.39,MV,1746951827
199,orange walk,17.8333,-88.8333,23.55,95,100,1.53,BZ,1746951828
200,mount pearl,47.5166,-52.7813,11.29,97,100,6.69,CA,1746951829
201,malango,-2.9627,119.9001,22.94,97,84,0.81,ID,1746951830
202,banjar,-8.19,114.9675,28.55,83,70,0.51,ID,1746951831
203,brokopondo,4.75,-55.1667,24.5,90,39,2.19,SR,1746951833
204,labrador city,52.9463,-66.9114,-5.05,86,100,7.72,CA,1746951835
205,san antonio de pale,-1.4014,5.6325,27.15,80,100,5.02,GQ,1746951836
206,chernyshevskiy,63.0128,112.4714,4.24,73,88,1.23,RU,1746951837
207,shenjiamen,29.9576,122.298,24.05,45,21,3.33,CN,1746951838
208,dudinka,69.4058,86.1778,-3.25,89,100,6.23,RU,1746951840
209,hassi messaoud,31.6804,6.0729,22.92,56,40,8.75,DZ,1746951841
210,gunjur,13.2019,-16.7339,24.04,60,0,2.57,GM,1746951842
211,inhambane,-23.865,35.3833,27.66,50,0,2.93,MZ,1746951843
212,cradock,-32.1642,25.6192,10.77,58,90,3.37,ZA,1746951844
213,roma,43.2128,-75.4557,7.28,95,11,2.38,US,1746951845
214,hami,42.8,93.45,30.78,15,100,8.59,CN,1746951846
215,yanchep,-31.55,115.6833,24.77,50,1,5.82,AU,1746951847
216,calama,-22.4667,-68.9333,8.27,18,0,6.17,CL,1746951849
217,qamdo,31.1667,97.2333,15.98,12,1,3.44,CN,1746951850
218,priargunsk,50.3691,119.1012,21.01,18,77,0.59,RU,1746951851
219,jirja,26.3383,31.8916,35.12,12,0,2.57,EG,1746951852
220,sisimiut,66.9395,-53.6735,-5.26,75,100,10.84,GL,1746951853
221,selfoss,63.9331,-20.9971,5.02,66,59,0.38,IS,1746951854
222,nurota,40.5614,65.6886,31.0,17,0,9.38,UZ,1746951855
223,olinda,-8.0089,-34.8553,23.85,94,40,1.03,BR,1746951856
224,chonchi,-42.6128,-73.8092,6.73,92,73,0.58,CL,1746951857
225,namibe,-15.1961,12.1522,25.46,58,0,1.89,AO,1746951858
226,longboat key,27.4125,-82.659,23.34,87,20,3.6,US,1746951859
227,rakvere,59.3464,26.3558,9.18,51,4,4.98,EE,1746951860
228,touros,-5.1989,-35.4608,24.9,91,44,3.22,BR,1746951861
229,ramshir,30.8946,49.4092,40.43,7,0,3.65,IR,1746951862
230,shakawe,-18.3667,21.85,24.81,24,2,2.61,BW,1746951863
231,vernon,50.2581,-119.2691,9.86,60,49,1.54,CA,1746951864
232,cork,51.898,-8.4706,12.87,76,75,3.09,IE,1746951866
233,ust-nera,64.5667,143.2,6.24,74,95,2.22,RU,1746951867
234,weno,7.4515,151.8468,26.97,83,100,5.14,FM,1746951868
235,prieska,-29.6641,22.7474,11.89,52,41,3.52,ZA,1746951869
236,monrovia,6.3005,-10.7969,27.2,81,60,0.8,LR,1746951870
237,san patricio,28.017,-97.5169,15.97,86,5,2.97,US,1746951871
238,khash,28.2211,61.2158,32.07,10,0,0.75,IR,1746951872
239,red hill,33.9996,-79.2581,17.78,3,100,2.37,US,1746951873
240,polyarnyy,69.1989,33.4478,3.38,79,51,4.74,RU,1746951874
241,steinbach,50.1667,8.5667,19.4,49,0,5.66,DE,1746951875
242,karratha,-20.7377,116.8463,30.35,37,20,5.83,AU,1746951876
243,barra de santo antonio,-9.4047,-35.5072,23.54,91,19,2.23,BR,1746951877
244,tarinkot,32.6268,65.8733,31.1,9,0,2.94,AF,1746951878
245,katabu,-4.9333,122.5167,27.09,90,32,2.49,ID,1746951879
246,tosontsengel,48.7567,98.2839,17.52,32,88,9.51,MN,1746951880
247,west island,-12.1568,96.8225,28.99,74,75,7.72,CC,1746951881
248,puerto baquerizo moreno,-0.9,-89.6,23.82,92,18,3.49,EC,1746951882
249,port alfred,-33.5906,26.891,17.88,68,50,4.47,ZA,1746951884
250,lompoc,34.6391,-120.4579,11.74,85,0,5.81,US,1746951885
251,kankan,10.3854,-9.3057,27.21,67,87,2.27,GN,1746951886
252,shizuishan,39.2333,106.7694,27.62,6,72,1.93,CN,1746951887
253,howrah,22.5892,88.3103,40.0,35,40,2.57,IN,1746951888
254,yuzhno-kurilsk,44.0306,145.8556,6.77,86,35,7.02,RU,1746951889
255,fada,7.25,4.0667,27.27,80,23,1.71,NG,1746951890
256,harlingen,26.1906,-97.6961,20.05,94,0,3.09,US,1746951891
257,lindisfarne,-42.8333,147.35,11.23,76,100,1.54,AU,1746951892
258,adam,22.3756,57.5233,37.05,16,0,2.42,OM,1746951893
259,chibougamau,49.9168,-74.3659,-4.21,80,0,3.6,CA,1746951894
260,lorica,9.2365,-75.8135,26.02,95,99,1.05,CO,1746951895
261,betafo,-19.8333,46.85,23.32,60,0,2.24,MG,1746951896
262,khandyga,62.6667,135.6,10.57,46,100,4.6,RU,1746951897
263,mojo,8.6,39.1167,27.94,22,98,4.46,ET,1746951898
264,sola,-13.8833,167.55,27.89,77,94,4.08,VU,1746951899
265,owase,34.0667,136.2,19.73,64,100,3.0,JP,1746951900
266,nar'yan-mar,67.6713,53.087,-0.45,96,75,3.44,RU,1746951902
267,antsiranana,-12.2787,49.2917,33.42,49,40,7.2,MG,1746951903
268,christchurch,-43.5333,172.6333,13.28,86,75,6.69,NZ,1746951904
269,broken hill,-31.95,141.4333,19.0,43,5,3.98,AU,1746951905
270,jiagedaqi,50.4167,124.1167,20.75,23,97,0.96,CN,1746951906
271,miranda,3.2499,-76.2281,18.41,77,19,2.39,CO,1746951907
272,strugi-krasnyye,58.2675,29.1114,7.69,47,81,4.72,RU,1746951908
273,kujang-up,39.8672,126.0303,16.67,71,100,2.72,KP,1746951909
274,guna,24.65,77.3167,38.23,21,20,5.34,IN,1746951910
275,salinas,36.6777,-121.6555,12.26,80,0,4.63,US,1746951911
276,vikulovo,56.8167,70.6107,9.78,44,100,2.94,RU,1746951912
